Date,Open,High,Low,Close,Adj Close,log return,log return2
5/15/1997,2.4375,2.5,1.927083,1.958333,1.958333,0,
5/16/1997,1.96875,1.979167,1.708333,1.729167,1.729167,-0.124453811,
5/19/1997,1.760417,1.770833,1.625,1.708333,1.708333,-0.012121748,-0.13657556
5/20/1997,1.729167,1.75,1.635417,1.635417,1.635417,-0.043620224,-0.055741972
5/21/1997,1.635417,1.645833,1.375,1.427083,1.427083,-0.136265317,-0.17988554
5/22/1997,1.4375,1.447917,1.3125,1.395833,1.395833,-0.022141131,-0.158406448
5/23/1997,1.40625,1.520833,1.333333,1.5,1.5,0.071973738,0.049832607
5/27/1997,1.510417,1.645833,1.458333,1.583333,1.583333,0.054067011,0.126040749
5/28/1997,1.625,1.635417,1.53125,1.53125,1.53125,-0.033447724,0.020619287
5/29/1997,1.541667,1.541667,1.479167,1.505208,1.505208,-0.017153301,-0.050601024
5/30/1997,1.5,1.510417,1.479167,1.5,1.5,-0.003465987,-0.020619287
6/2/1997,1.510417,1.53125,1.5,1.510417,1.510417,0.006920664,0.003454677
6/3/1997,1.53125,1.53125,1.479167,1.479167,1.479167,-0.02090668,-0.013986017
6/4/1997,1.479167,1.489583,1.395833,1.416667,1.416667,-0.043172162,-0.064078842
6/5/1997,1.416667,1.541667,1.375,1.541667,1.541667,0.084557369,0.041385207
6/6/1997,1.515625,1.708333,1.510417,1.65625,1.65625,0.071691712,0.156249081
6/9/1997,1.65625,1.708333,1.65625,1.6875,1.6875,0.018692133,0.090383845
6/10/1997,1.708333,1.708333,1.53125,1.583333,1.583333,-0.063716025,-0.045023892
6/11/1997,1.59375,1.604167,1.53125,1.541667,1.541667,-0.02666782,-0.090383845
6/12/1997,1.583333,1.645833,1.552083,1.604167,1.604167,0.03974032,0.0130725
6/13/1997,1.625,1.625,1.583333,1.583333,1.583333,-0.0130725,0.02666782
6/16/1997,1.604167,1.604167,1.5625,1.572917,1.572917,-0.006600262,-0.019672761
6/17/1997,1.598958,1.598958,1.494792,1.505208,1.505208,-0.044000763,-0.050601024
6/18/1997,1.520833,1.536458,1.5,1.510417,1.510417,0.003454677,-0.040546086
6/19/1997,1.510417,1.53125,1.5,1.510417,1.510417,0,0.003454677
6/20/1997,1.53125,1.552083,1.5,1.526042,1.526042,0.010291684,0.010291684
6/23/1997,1.541667,1.541667,1.479167,1.5,1.5,-0.017212347,-0.006920664
6/24/1997,1.505208,1.526042,1.479167,1.510417,1.510417,0.006920664,-0.010291684
6/25/1997,1.526042,1.526042,1.489583,1.510417,1.510417,0,0.006920664
6/26/1997,1.520833,1.520833,1.505208,1.510417,1.510417,0,0
6/27/1997,1.515625,1.515625,1.479167,1.489583,1.489583,-0.013889557,-0.013889557
6/30/1997,1.510417,1.598958,1.479167,1.541667,1.541667,0.034368083,0.020478527
7/1/1997,1.541667,1.541667,1.510417,1.515625,1.515625,-0.017036403,0.01733168
7/2/1997,1.515625,1.59375,1.510417,1.588542,1.588542,0.046988719,0.029952316
7/3/1997,1.598958,1.916667,1.59375,1.911458,1.911458,0.185049687,0.232038406
7/7/1997,1.833333,2.020833,1.833333,2,2,0.045280879,0.230330566
7/8/1997,2.041667,2.333333,2.041667,2.302083,2.302083,0.140667185,0.185948064
7/9/1997,2.302083,2.385417,2.270833,2.322917,2.322917,0.009009358,0.149676543
7/10/1997,2.333333,2.572917,2.333333,2.5625,2.5625,0.098159621,0.107168979
7/11/1997,2.520833,2.520833,2.208333,2.291667,2.291667,-0.111703844,-0.013544223
7/14/1997,2.322917,2.333333,2.114583,2.135417,2.135417,-0.070617557,-0.182321401
7/15/1997,2.135417,2.479167,2.135417,2.4375,2.4375,0.13231098,0.061693424
7/16/1997,2.447917,2.494792,2.302083,2.333333,2.333333,-0.043675206,0.088635774
7/17/1997,2.34375,2.34375,2.15625,2.21875,2.21875,-0.050353743,-0.09402895
7/18/1997,2.1875,2.21875,2.15625,2.15625,2.15625,-0.028573372,-0.078927116
7/21/1997,2.177083,2.197917,2.145833,2.182292,2.182292,0.012005099,-0.016568274
7/22/1997,2.166667,2.1875,2.0625,2.135417,2.135417,-0.021713757,-0.009708658
7/23/1997,2.1875,2.333333,2.177083,2.291667,2.291667,0.070617557,0.0489038
7/24/1997,2.302083,2.3125,2.21875,2.260417,2.260417,-0.013730191,0.056887366
7/25/1997,2.21875,2.25,2.21875,2.229167,2.229167,-0.013921336,-0.027651527
7/28/1997,2.229167,2.395833,2.21875,2.322917,2.322917,0.04119575,0.027274414
7/29/1997,2.364583,2.5,2.333333,2.479167,2.479167,0.065098893,0.106294644
7/30/1997,2.5,2.505208,2.427083,2.447917,2.447917,-0.012685158,0.052413735
7/31/1997,2.4375,2.4375,2.333333,2.395833,2.395833,-0.021506481,-0.034191638
8/1/1997,2.34375,2.416667,2.25,2.416667,2.416667,0.00865834,-0.012848141
8/4/1997,2.375,2.411458,2.302083,2.3125,2.3125,-0.044060128,-0.035401788
8/5/1997,2.333333,2.333333,2.145833,2.208333,2.208333,-0.046091258,-0.090151386
8/6/1997,2.208333,2.3125,2.1875,2.25,2.25,0.018692284,-0.027398974
8/7/1997,2.25,2.260417,2.125,2.177083,2.177083,-0.032944309,-0.014252025
8/8/1997,2.166667,2.302083,2.104167,2.291667,2.291667,0.051293593,0.018349284
8/11/1997,2.291667,2.333333,2.25,2.328125,2.328125,0.015783722,0.067077315
8/12/1997,2.28125,2.302083,2.197917,2.197917,2.197917,-0.057553129,-0.041769407
8/13/1997,2.229167,2.229167,2.166667,2.197917,2.197917,0,-0.057553129
8/14/1997,2.177083,2.25,2.119792,2.15625,2.15625,-0.019139492,-0.019139492
8/15/1997,2.135417,2.15625,1.9375,2.114583,2.114583,-0.019512972,-0.038652464
8/18/1997,2.052083,2.052083,1.96875,2.041667,2.041667,-0.035090999,-0.054603971
8/19/1997,2.09375,2.208333,2.052083,2.166667,2.166667,0.059423411,0.024332412
8/20/1997,2.1875,2.1875,2.072917,2.166667,2.166667,0,0.059423411
8/21/1997,2.135417,2.171875,2.072917,2.114583,2.114583,-0.024332412,-0.024332412
8/22/1997,2.104167,2.125,2.09375,2.125,2.125,0.004914172,-0.01941824
8/25/1997,2.104167,2.260417,2.104167,2.21875,2.21875,0.043172172,0.048086344
8/26/1997,2.239583,2.354167,2.229167,2.34375,2.34375,0.054808236,0.097980408
8/27/1997,2.307292,2.322917,2.25,2.317708,2.317708,-0.011173444,0.043634792
8/28/1997,2.302083,2.395833,2.28125,2.375,2.375,0.024418671,0.013245227
8/29/1997,2.364583,2.375,2.322917,2.338542,2.338542,-0.015469779,0.008948892
9/2/1997,2.34375,2.375,2.333333,2.354167,2.354167,0.006659291,-0.008810488
9/3/1997,2.34375,2.416667,2.3125,2.333333,2.333333,-0.008889232,-0.002229941
9/4/1997,2.364583,2.552083,2.34375,2.552083,2.552083,0.089612171,0.080722939
9/5/1997,2.583333,2.666667,2.458333,2.5,2.5,-0.020619157,0.068993014
9/8/1997,2.53125,3.020833,2.5,3,3,0.182321557,0.1617024
9/9/1997,3.140625,3.385417,3.026042,3.239583,3.239583,0.076832329,0.259153886
9/10/1997,3.3125,3.328125,3.125,3.302083,3.302083,0.019108864,0.095941193
9/11/1997,3.333333,3.333333,3.041667,3.15625,3.15625,-0.045168867,-0.026060004
9/12/1997,3.1875,3.697917,3.15625,3.6875,3.6875,0.155564108,0.11039524
9/15/1997,3.666667,3.677083,3.052083,3.09375,3.09375,-0.175564774,-0.020000667
9/16/1997,3.125,3.541667,3.119792,3.354167,3.354167,0.080819506,-0.094745268
9/17/1997,3.458333,3.5,3.333333,3.40625,3.40625,0.015408526,0.096228032
9/18/1997,3.4375,3.46875,3.28125,3.291667,3.291667,-0.034217856,-0.01880933
9/19/1997,3.380208,4.083333,3.375,3.947917,3.947917,0.181793975,0.147576119
9/22/1997,4,4.677083,3.947917,4.5,4.5,0.130889299,0.312683273
9/23/1997,4.489583,4.645833,4.395833,4.625,4.625,0.027398974,0.158288273
9/24/1997,4.645833,4.8125,4.291667,4.375,4.375,-0.055569851,-0.028170877
9/25/1997,4.34375,4.354167,4.052083,4.078125,4.078125,-0.070269196,-0.125839047
9/26/1997,4.072917,4.260417,4.052083,4.166667,4.166667,0.021479112,-0.048790084
9/29/1997,4.145833,4.1875,3.958333,4.041667,4.041667,-0.030459205,-0.008980093
9/30/1997,4,4.348958,3.802083,4.338542,4.338542,0.070881116,0.040421911
10/1/1997,4.4375,4.5,3.9375,4.020833,4.020833,-0.076049252,-0.005168136
10/2/1997,4.041667,4.177083,3.989583,4.010417,4.010417,-0.002593869,-0.078643121
10/3/1997,4.083333,4.125,3.979167,4.015625,4.015625,0.001297776,-0.001296094
10/6/1997,4,4.125,3.942708,4.125,4.125,0.026873018,0.028170794
10/7/1997,4.083333,4.1875,4.041667,4.057292,4.057292,-0.016550264,0.010322754
10/8/1997,4.145833,4.166667,3.984375,4.005208,4.005208,-0.012920242,-0.029470506
10/9/1997,4,4.020833,3.739583,3.75,3.75,-0.065839674,-0.078759916
10/10/1997,3.729167,4.0625,3.666667,3.901042,3.901042,0.039487857,-0.026351817
10/13/1997,3.927083,4.041667,3.927083,4,4,0.025050664,0.064538521
10/14/1997,4.0625,4.104167,3.833333,3.979167,3.979167,-0.00522186,0.019828804
