ticker,stkPx,expirDate,yte,strike,cBidPx,cValue,cAskPx,iRate,trade_date,duration
A,38.41,11/20/2015,0.00822,22.5,13.55,15.91,16.15,0.0007,11/17/2015,3
A,38.41,11/20/2015,0.00822,25,11.2,13.41,13.65,0.0007,11/17/2015,3
A,38.41,11/20/2015,0.00822,27.5,8.55,10.91,11.2,0.0007,11/17/2015,3
A,38.41,11/20/2015,0.00822,30,6.05,8.41,8.6,0.0007,11/17/2015,3
A,38.41,11/20/2015,0.00822,32.5,4.3,5.91,6.75,0.0007,11/17/2015,3
A,38.41,11/20/2015,0.00822,35,2.9,3.43,3.55,0.0007,11/17/2015,3
A,38.41,11/20/2015,0.00822,37.5,0.66,1.21,1.13,0.0007,11/17/2015,3
A,38.41,11/20/2015,0.00822,40,0.05,0.16,0.14,0.0007,11/17/2015,3
A,38.41,11/20/2015,0.00822,42.5,0.01,0.01,0.09,0.0007,11/17/2015,3
A,38.41,11/20/2015,0.00822,45,0,0,0.29,0.0007,11/17/2015,3
A,38.41,11/20/2015,0.00822,47.5,0,0,0.28,0.0007,11/17/2015,3
A,38.41,11/20/2015,0.00822,50,0,0,0.3,0.0007,11/17/2015,3
A,38.41,11/20/2015,0.00822,52.5,0,0,0.31,0.0007,11/17/2015,3
A,38.41,11/20/2015,0.00822,55,0,0,0.31,0.0007,11/17/2015,3
A,38.41,11/20/2015,0.00822,60,0,0,0.31,0.0007,11/17/2015,3
A,38.41,12/18/2015,0.08493,20,16.05,18.41,19.05,0.0014,11/17/2015,31
A,38.41,12/18/2015,0.08493,22.5,13.75,15.91,16.3,0.0014,11/17/2015,31
A,38.41,12/18/2015,0.08493,25,11.55,13.41,13.8,0.0014,11/17/2015,31
A,38.41,12/18/2015,0.08493,27.5,9.3,10.91,11.85,0.0014,11/17/2015,31
A,38.41,12/18/2015,0.08493,30,6.8,8.41,8.75,0.0014,11/17/2015,31
A,38.41,12/18/2015,0.08493,32.5,4.45,5.95,7,0.0014,11/17/2015,31
A,38.41,12/18/2015,0.08493,35,3.25,3.66,3.9,0.0014,11/17/2015,31
A,38.41,12/18/2015,0.08493,37.5,1.68,1.83,1.96,0.0014,11/17/2015,31
A,38.41,12/18/2015,0.08493,40,0.59,0.73,0.85,0.0014,11/17/2015,31
A,38.41,12/18/2015,0.08493,42.5,0.18,0.24,0.37,0.0014,11/17/2015,31
A,38.41,12/18/2015,0.08493,45,0.01,0.07,0.29,0.0014,11/17/2015,31
A,38.41,12/18/2015,0.08493,47.5,0,0.01,0.33,0.0014,11/17/2015,31
A,38.41,12/18/2015,0.08493,50,0,0,0.33,0.0014,11/17/2015,31
A,38.41,1/15/2016,0.16164,20,16.05,18.31,19,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,22.5,13.9,15.81,16.5,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,25,11.6,13.31,13.95,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,27.5,9.35,10.82,11.45,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,30,7.75,8.38,8.9,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,32.5,4.75,6.07,6.6,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,35,3.8,4,4.15,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,37.5,2.23,2.32,2.43,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,40,1.1,1.16,1.24,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,42.5,0.42,0.52,0.61,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,45,0.13,0.22,0.33,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,47.5,0.01,0.08,0.21,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,50,0,0.03,0.17,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,52.5,0,0.01,0.15,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,55,0,0,0.13,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,57.5,0.7,0,1,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,60,0,0,0.09,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,62.5,0,0,0.67,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,65,0,0,0.58,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,67.5,0,0,0.53,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,70,0,0,0.51,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,75,0,0,0.49,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,80,0,0,0.47,0.0014,11/17/2015,59
A,38.41,1/15/2016,0.16164,85,0,0,0.46,0.0014,11/17/2015,59
A,38.41,2/19/2016,0.25753,20,16.45,18.33,19.95,0.0034,11/17/2015,94
A,38.41,2/19/2016,0.25753,22.5,14.05,15.84,17.15,0.0034,11/17/2015,94
A,38.41,2/19/2016,0.25753,25,11.5,13.38,14.6,0.0034,11/17/2015,94
A,38.41,2/19/2016,0.25753,27.5,9.8,10.98,11.5,0.0034,11/17/2015,94
A,38.41,2/19/2016,0.25753,30,7.3,8.67,9.1,0.0034,11/17/2015,94
A,38.41,2/19/2016,0.25753,32.5,4.95,6.46,7.6,0.0034,11/17/2015,94
A,38.41,2/19/2016,0.25753,35,4.15,4.43,5.1,0.0034,11/17/2015,94
